,Name,Rating,Popularity,Studio,Type,Genres,Era
46,Death Note,8.68,1249272.0,Madhouse,TV,Mystery/Police/Psychological/Supernatural/Thriller,Classic
47,Ansatsu Kyoushitsu (TV) 2nd Season,8.67,285478.0,Lerche,TV,Action/Comedy/School/Shounen,New
48,Haikyuu!!,8.67,396095.0,Production I.G,TV,Comedy/Sports/Drama/School/Shounen,New
49,Hajime no Ippo: Rising,8.67,86412.0,Madhouse,TV,Comedy/Sports/Drama/Shounen,New
50,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,8.66,133540.0,David Production,TV,Action/Adventure/Comedy/Supernatural/Drama/Shounen,New
51,Natsume Yuujinchou San,8.66,124821.0,Brain's Base,TV,Drama/Fantasy/Shoujo/Slice of Life/Supernatural,New
52,Yojouhan Shinwa Taikei,8.66,155665.0,Madhouse,TV,Mystery/Psychological/Romance,New
53,Kara no Kyoukai 5: Mujun Rasen,8.65,126600.0,ufotable,Movie,Action/Mystery/Supernatural/Drama/Romance/Thriller,New
55,Natsume Yuujinchou Go,8.65,66470.0,Shuka,TV,Slice of Life/Supernatural/Drama/Fantasy/Shoujo,New
56,Ping Pong The Animation,8.65,123875.0,Tatsunoko Production,TV,Psychological/Seinen/Sports,New
57,Shouwa Genroku Rakugo Shinjuu,8.63,117117.0,Studio Deen,TV,Drama/Historical/Josei,New
58,Tengen Toppa Gurren Lagann Movie: Lagann-hen,8.63,99152.0,Gainax,Movie,Action/Mecha/Sci-Fi/Space/Super Power,New
59,Zoku Natsume Yuujinchou,8.63,134487.0,Brain's Base,TV,Drama/Fantasy/Shoujo/Slice of Life/Supernatural,New
60,Aria The Origination,8.61,64469.0,Hal Film Maker,TV,Fantasy/Sci-Fi/Shounen/Slice of Life,New
61,Mahoutsukai no Yome,8.6,82352.0,Wit Studio,TV,Slice of Life/Magic/Fantasy/Shounen,New
62,Rainbow: Nisha Rokubou no Shichinin,8.61,171985.0,Madhouse,TV,Drama/Historical/Seinen/Thriller,New
64,Kuroshitsuji Movie: Book of the Atlantic,8.59,40677.0,A-1 Pictures,Movie,Action/Comedy/Historical/Demons/Supernatural/Fantasy,New
65,Boku dake ga Inai Machi,8.58,569321.0,A-1 Pictures,TV,Mystery/Psychological/Seinen/Supernatural,New
66,Gintama Movie 1: Shinyaku Benizakura-hen,8.58,62779.0,Sunrise,Movie,Action/Sci-Fi/Comedy/Historical/Parody/Samurai/Shounen,New
